gene	UMI
ASNS	2174
ASNSD1	1119
ASPG	1
ASPH	19519
ASPHD1	396
ASPHD2	35
ASPM	2600
ASPRV1	9
ASPSCR1	1411
ASRGL1	1260
ASS1	88
ASTE1	112
ASTN1	1
ASTN2	326
ASXL1	1456
ASXL2	493
ATAD1	980
ATAD2	2285
ATAD2B	384
ATAD3A	1637
ATAD3B	7
ATAD3C	3
ATAD5	1604
ATAT1	202
ATCAY	3
ATE1	426
ATF1	971
ATF2	170
ATF3	1460
ATF4	7316
ATF5	1000
ATF6	525
ATF6B	108
ATF7	637
ATF7IP	232
ATF7IP2	98
ATG10	546
ATG12	2396
ATG13	623
ATG14	250
ATG16L1	556
ATG16L2	73
ATG2A	152
ATG2B	193
ATG3	2343
ATG4A	253
ATG4B	1451
ATG4C	254
ATG4D	517
ATG5	1050
ATG7	377
ATG9A	592
ATHL1	120
ATIC	5288
ATL1	126
ATL2	547
ATL3	695
ATM	399
ATMIN	739
ATN1	296
ATOH7	3
ATOH8	12
ATOX1	8700
ATP10A	138
ATP10D	64
ATP11A	161
ATP11B	179
ATP11C	337
ATP13A1	406
ATP13A2	270
ATP13A3	445
ATP1A1	1740
ATP1A1OS	40
ATP1A2	1
ATP1A3	21
ATP1B1	3474
ATP1B3	4863
ATP2A1	13
ATP2A2	4791
ATP2A3	31
ATP2B1	5362
ATP2B4	111
ATP2C1	622
ATP2C2	6
ATP4A	16
ATP4B	1
ATP5A1	12294
ATP5B	23444
ATP5C1	11271
ATP5D	13539
ATP5E	9771
ATP5EP2	86
ATP5F1	8054
ATP5G1	39761
ATP5G2	31591
ATP5G3	30199
ATP5H	11006
ATP5I	8559
ATP5J	15552
ATP5J2	23030
ATP5L	22710
ATP5L2	153
ATP5O	11024
ATP5S	661
ATP5SL	3995
ATP6AP1	1581
ATP6AP1L	8
ATP6AP2	2600
ATP6V0A1	497
ATP6V0A2	381
ATP6V0A4	1
ATP6V0B	7467
ATP6V0C	8241
ATP6V0D1	2166
ATP6V0E1	14643
ATP6V0E2	2487
ATP6V1A	628
ATP6V1B1	27
ATP6V1B2	915
ATP6V1C1	1298
ATP6V1C2	5
ATP6V1D	2646
ATP6V1E1	3352
ATP6V1E2	167
ATP6V1F	8870
ATP6V1G1	6402
ATP6V1G2	7
ATP6V1H	829
ATP7A	184
ATP7B	20
ATP8A1	2
ATP8B1	295
ATP8B2	120
ATP8B3	23
ATP8B4	5
ATP8B5P	62
ATP9A	304
ATP9B	375
ATPAF1	994
ATPAF2	864
ATPBD4	482
ATPIF1	10564
ATR	623
ATRIP	336
ATRN	306
ATRNL1	15
ATRX	3177
ATXN1	75
ATXN10	2733
ATXN1L	154
ATXN2	857
ATXN2L	556
ATXN3	655
ATXN7	244
ATXN7L1	191
ATXN7L2	21
ATXN7L3	487
ATXN7L3B	732
AUH	174
AUP1	9510
AURKA	4931
AURKAIP1	20438
AURKAPS1	14
AURKB	5461
AURKC	19
AUTS2	74
AVEN	1161
AVIL	14
AVL9	194
AVPI1	5183
AVPR1A	1
AXDND1	7
AXIN1	343
AXIN2	25
AXL	4869
AZFP	1
AZI1	333
AZI2	1420
AZIN1	2170
B2M	18955
B3GALNT1	2
