UID	gene_id	DNA_1	RNA_1	DNA_2	RNA_2	DNA_3	RNA_3
HGLibB_04064	BACH1	28611	28773	46114	58054	42388	50184
HGLibA_04287	BCL10	60148	52962	102630	109898	60181	62637
HGLibA_04288	BCL10	11019	10310	89546	94353	56662	52108
HGLibB_04284	BCL10	10442	8433	45774	43215	17407	18304
HGLibA_04784	BRD8	111986	97896	81756	88134	103327	111373
HGLibA_04785	BRD8	13421	9830	59452	56101	16960	18278
HGLibB_04783	BRD8	112808	85037	65557	69593	61123	58895
HGLibA_04797	BRF1	9363	8809	13220	15835	13678	12263
HGLibB_04794	BRF1	34773	22893	33035	26494	30949	28955
HGLibB_04796	BRF1	34184	34057	31952	47686	30420	33454
HGLibA_04952	BTK	197486	160618	97436	103406	87369	84126
HGLibA_04954	BTK	97369	82835	37480	39967	24137	29061
HGLibB_04949	BTK	48395	46553	55476	66410	44080	47234
HGLibA_05189	C11orf82	9800	7058	29885	31903	12751	11402
HGLibB_05186	C11orf82	117919	97568	133663	139879	131009	131602
HGLibB_05187	C11orf82	57052	52491	84158	86764	100582	105058
HGLibA_05540	C17orf50	180343	167655	74043	79356	59300	65802
HGLibB_05536	C17orf50	50987	37008	58714	53300	25164	22417
HGLibB_05537	C17orf50	172088	133760	91474	98944	117287	118298
HGLibA_05827	C1orf210	133079	110461	109225	114592	140608	129844
HGLibA_05829	C1orf210	24825	24715	49366	54150	74403	68225
HGLibB_05823	C1orf210	550828	386546	255380	230323	274067	233653
HGLibA_06959	CACYBP	18646	18344	70609	72583	25827	26607
HGLibB_06954	CACYBP	22580	20223	92819	79748	42597	36370
HGLibB_06955	CACYBP	54437	50227	44187	56250	38301	41164
HGLibA_07165	CAPN3	34833	31262	70701	74421	45174	46255
HGLibA_07167	CAPN3	74920	61106	101142	112764	104465	104065
HGLibB_07160	CAPN3	18450	12545	76810	85224	47333	48168
HGLibA_07346	CAST	113297	97654	101372	107044	90201	91479
HGLibB_07339	CAST	56427	49738	68527	70477	82824	89015
HGLibB_07340	CAST	1389	967	40378	36314	10598	8001
HGLibA_07723	CCDC181	33032	27865	55618	54826	39834	38065
HGLibA_07724	CCDC181	29792	26975	54474	50928	23725	23414
HGLibB_07718	CCDC181	63112	45739	35297	36986	8122	8176
HGLibA_08216	CCT8	15950	10356	17155	16424	9215	7763
HGLibB_08208	CCT8	21484	16068	34238	28783	20792	16205
HGLibB_08210	CCT8	8320	7720	51040	54578	21720	21527
